departamento	ciudad_municipio	departamento_nom	ciudad_municipio_nom	LATITUD	LONGITUD
5	5001	ANTIOQUIA	MEDELLIN	-75,5760017134	6,24858636743
5	5030	ANTIOQUIA	AMAGA	-75,7019483389	6,03880842381
5	5042	ANTIOQUIA	SANTA FE DE ANTIOQUIA	-75,8270783216	6,55653286033
5	5045	ANTIOQUIA	APARTADO	-76,6258909217	7,88325108195
5	5051	ANTIOQUIA	ARBOLETES	-76,4266581639	8,84991827334
5	5079	ANTIOQUIA	BARBOSA	-75,3316403017	6,4392260115
5	5088	ANTIOQUIA	BELLO	-75,5546673053	6,33406558292
5	5101	ANTIOQUIA	BOLIVAR	-76,0215106815	5,85027282845
5	5129	ANTIOQUIA	CALDAS	-75,6336168248	6,09129760323
5	5147	ANTIOQUIA	CAREPA	-76,653210744	7,75511548219
5	5154	ANTIOQUIA	CAUCASIA	-75,1982784645	7,97734097812
5	5172	ANTIOQUIA	CHIGORODO	-76,6812146131	7,66630069082
5	5190	ANTIOQUIA	CISNEROS	-75,0872051341	6,53776304826
5	5212	ANTIOQUIA	COPACABANA	-75,5093435119	6,34863947056
5	5266	ANTIOQUIA	ENVIGADO	-75,5830089369	6,16700589298
5	5308	ANTIOQUIA	GIRARDOTA	-75,4444597681	6,37961535607
5	5360	ANTIOQUIA	ITAGUI	-75,6120815283	6,174929734
5	5376	ANTIOQUIA	LA CEJA	-75,4294329272	6,02805465836
5	5380	ANTIOQUIA	LA ESTRELLA	-75,645190382	6,15841993
5	5400	ANTIOQUIA	LA UNION	-75,3608622911	5,97387113417
5	5440	ANTIOQUIA	MARINILLA	-75,3394598367	6,17404951538
5	5607	ANTIOQUIA	RETIRO	-75,5013756659	6,06338107129
5	5615	ANTIOQUIA	RIONEGRO	-75,3767667557	6,1472245313
5	5631	ANTIOQUIA	SABANETA	-75,6155845416	6,15096981767
5	5697	ANTIOQUIA	SANTUARIO	-75,2654679804	6,13685720436
